"Laps","Time","Cumulative Time","Distancekm","Avg Pacemin/km","Avg GAPmin/km","Avg HRbpm","Max HRbpm","Total Ascentm","Total Descentm","Avg PowerW","Avg W/kg","Max PowerW","Max W/kg","Avg Run Cadencespm","Avg Ground Contact Timems","Avg GCT Balance%","Avg Stride Lengthm","Avg Vertical Oscillationcm","Avg Vertical Ratio%","CaloriesC","Avg Temperature","Best Pacemin/km","Max Run Cadencespm","Moving Time","Avg Moving Pacemin/km","Avg Step Speed Losscm/s","Avg Step Speed Loss Percent%"
"1","5:32.1","5:32.1","1.00","5:32","5:32","123","133","","","","","","","","","","","","","69","","5:32","","5:32.1","5:32","",""
"2","5:53.5","11:25.5","1.00","5:53","5:53","128","134","","","","","","","","","","","","","76","","5:53","","5:53.5","5:53","",""
"3","5:51.7","17:17.2","1.00","5:51","5:51","132","143","","","","","","","","","","","","","77","","5:51","","5:51.7","5:51","",""
"4","5:59.5","23:16.7","1.00","5:59","5:59","138","151","","","","","","","","","","","","","82","","5:59","","5:59.5","5:59","",""
"5","5:55.0","29:11.7","1.00","5:54","5:54","133","139","","","","","","","","","","","","","76","","5:54","","5:55.0","5:54","",""
"6","5:54.8","35:06.5","1.00","5:54","5:54","133","142","","","","","","","","","","","","","76","","5:54","","5:54.8","5:54","",""
"7","5:43.7","40:50.2","1.00","5:43","5:43","142","150","","","","","","","","","","","","","78","","5:43","","5:43.7","5:43","",""
"8","5:42.0","46:32.1","1.00","5:41","5:41","142","155","","","","","","","","","","","","","78","","5:41","","5:42.0","5:41","",""
"9","1:47.7","48:19.8","0.32","5:37","5:37","141","144","","","","","","","","","","","","","25","","5:37","","1:47.7","5:37","",""
"Summary","48:19.8","48:19.8","8.32","5:48","5:48","134","155","","","","","","","","","","","","","637","","","","48:19.8","5:48","",""
